,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Nov 06, 2020",3508.34,3521.58,3484.34,3509.44,3509.44,2167666491
1,"Nov 05, 2020",3485.74,3529.05,3485.74,3510.45,3510.45,4841190000
2,"Nov 04, 2020",3406.46,3486.25,3405.17,3443.44,3443.44,4783040000
3,"Nov 03, 2020",3336.25,3389.49,3336.25,3369.16,3369.16,4220070000
4,"Nov 02, 2020",3296.20,3330.14,3279.74,3310.24,3310.24,4310590000
5,"Oct 30, 2020",3293.59,3304.93,3233.94,3269.96,3269.96,4840450000
6,"Oct 29, 2020",3277.17,3341.05,3259.82,3310.11,3310.11,4903070000
7,"Oct 28, 2020",3342.48,3342.48,3268.89,3271.03,3271.03,5129860000
8,"Oct 27, 2020",3403.15,3409.51,3388.71,3390.68,3390.68,3946990000
9,"Oct 26, 2020",3441.42,3441.42,3364.86,3400.97,3400.97,3988080000
10,"Oct 23, 2020",3464.90,3466.46,3440.45,3465.39,3465.39,3646570000
11,"Oct 22, 2020",3438.50,3460.53,3415.34,3453.49,3453.49,4163630000
12,"Oct 21, 2020",3439.91,3464.86,3433.06,3435.56,3435.56,4097750000
13,"Oct 20, 2020",3439.38,3476.93,3435.65,3443.12,3443.12,3901260000
14,"Oct 19, 2020",3493.66,3502.42,3419.93,3426.92,3426.92,4086200000
15,"Oct 16, 2020",3493.50,3515.76,3480.45,3483.81,3483.81,4675890000
16,"Oct 15, 2020",3453.72,3489.08,3440.89,3483.34,3483.34,3717640000
17,"Oct 14, 2020",3515.47,3527.94,3480.55,3488.67,3488.67,3840630000
18,"Oct 13, 2020",3534.01,3534.01,3500.86,3511.93,3511.93,3605150000
19,"Oct 12, 2020",3500.02,3549.85,3499.61,3534.22,3534.22,3428970000
20,"Oct 09, 2020",3459.67,3482.34,3458.07,3477.14,3477.14,3939060000
21,"Oct 08, 2020",3434.28,3447.28,3428.15,3446.83,3446.83,3856190000
22,"Oct 07, 2020",3384.56,3426.26,3384.56,3419.44,3419.44,3807830000
23,"Oct 06, 2020",3408.74,3431.56,3354.54,3360.97,3360.97,4443380000
24,"Oct 05, 2020",3367.27,3409.57,3367.27,3408.60,3408.60,3686920000
25,"Oct 02, 2020",3338.94,3369.10,3323.69,3348.42,3348.42,3961550000
26,"Oct 01, 2020",3385.87,3397.18,3361.39,3380.80,3380.80,4070530000
27,"Sep 30, 2020",3341.21,3393.56,3340.47,3363.00,3363.00,4722530000
28,"Sep 29, 2020",3350.92,3357.92,3327.54,3335.47,3335.47,3651880000
29,"Sep 28, 2020",3333.90,3360.74,3332.91,3351.60,3351.60,3946060000
30,"Sep 25, 2020",3236.66,3306.88,3228.44,3298.46,3298.46,3792220000
31,"Sep 24, 2020",3226.14,3278.70,3209.45,3246.59,3246.59,4599470000
32,"Sep 23, 2020",3320.11,3323.35,3232.57,3236.92,3236.92,4364500000
33,"Sep 22, 2020",3295.75,3320.31,3270.95,3315.57,3315.57,3963300000
34,"Sep 21, 2020",3285.57,3285.57,3229.10,3281.06,3281.06,4828350000
35,"Sep 18, 2020",3357.38,3362.27,3292.40,3319.47,3319.47,7068700000
36,"Sep 17, 2020",3346.86,3375.17,3328.82,3357.01,3357.01,4371940000
37,"Sep 16, 2020",3411.23,3428.92,3384.45,3385.49,3385.49,4710030000
38,"Sep 15, 2020",3407.73,3419.48,3389.25,3401.20,3401.20,4051460000
39,"Sep 14, 2020",3363.56,3402.93,3363.56,3383.54,3383.54,3832130000
40,"Sep 11, 2020",3352.70,3368.95,3310.47,3340.97,3340.97,3704450000
41,"Sep 10, 2020",3412.56,3425.55,3329.25,3339.19,3339.19,4192250000
42,"Sep 09, 2020",3369.82,3424.77,3366.84,3398.96,3398.96,3920830000
43,"Sep 08, 2020",3371.88,3379.97,3329.27,3331.84,3331.84,4665600000
44,"Sep 04, 2020",3453.60,3479.15,3349.63,3426.96,3426.96,4431440000
45,"Sep 03, 2020",3564.74,3564.85,3427.41,3455.06,3455.06,4898680000
46,"Sep 02, 2020",3543.76,3588.11,3535.23,3580.84,3580.84,4285190000
47,"Sep 01, 2020",3507.44,3528.03,3494.60,3526.65,3526.65,4083110000
48,"Aug 31, 2020",3509.73,3514.77,3493.25,3500.31,3500.31,4342290000
49,"Aug 28, 2020",3494.69,3509.23,3484.32,3508.01,3508.01,3855880000
50,"Aug 27, 2020",3485.14,3501.38,3468.35,3484.55,3484.55,3929560000
51,"Aug 26, 2020",3449.97,3481.07,3444.15,3478.73,3478.73,3754360000
52,"Aug 25, 2020",3435.95,3444.21,3425.84,3443.62,3443.62,3619300000
53,"Aug 24, 2020",3418.09,3432.09,3413.13,3431.28,3431.28,3728690000
54,"Aug 21, 2020",3386.01,3399.96,3379.31,3397.16,3397.16,3705420000
55,"Aug 20, 2020",3360.48,3390.80,3354.69,3385.51,3385.51,3642850000
56,"Aug 19, 2020",3392.51,3399.54,3369.66,3374.85,3374.85,3884480000
57,"Aug 18, 2020",3387.04,3395.06,3370.15,3389.78,3389.78,3881310000
58,"Aug 17, 2020",3380.86,3387.59,3379.22,3381.99,3381.99,3671290000
59,"Aug 14, 2020",3368.66,3378.51,3361.64,3372.85,3372.85,3193400000
60,"Aug 13, 2020",3372.95,3387.24,3363.35,3373.43,3373.43,3648810000
61,"Aug 12, 2020",3355.46,3387.89,3355.46,3380.35,3380.35,3768560000
62,"Aug 11, 2020",3370.34,3381.01,3326.44,3333.69,3333.69,5087650000
63,"Aug 10, 2020",3356.04,3363.29,3335.44,3360.47,3360.47,4318570000
64,"Aug 07, 2020",3340.05,3352.54,3328.72,3351.28,3351.28,4104860000
